"07459: Befolkning, etter region, statistikkvariabel og år"

"region";"Personer 2020"
"K-3001 Halden";31373
"K-3002 Moss";49273
"K-3003 Sarpsborg";56732
"K-3004 Fredrikstad";82385
"K-3005 Drammen";101386
"K-3006 Kongsberg";27723
"K-3007 Ringerike";30641
"K-3011 Hvaler";4668
"K-3012 Aremark";1325
"K-3013 Marker";3595
"K-3014 Indre Østfold";44792
"K-3015 Skiptvet";3805
"K-3016 Rakkestad";8255
"K-3017 Råde";7508
"K-3018 Våler (Viken)";5736
"K-3019 Vestby";18042
"K-3020 Nordre Follo";59288
"K-3021 Ås";20439
"K-3022 Frogn";15877
"K-3023 Nesodden";19616
"K-3024 Bærum";127731
"K-3025 Asker";94441
"K-3026 Aurskog-Høland";17390
"K-3027 Rælingen";18530
"K-3028 Enebakk";11110
"K-3029 Lørenskog";41460
"K-3030 Lillestrøm";85983
"K-3031 Nittedal";24249
"K-3032 Gjerdrum";6890
"K-3033 Ullensaker";39625
"K-3034 Nes";23092
"K-3035 Eidsvoll";25436
"K-3036 Nannestad";14139
"K-3037 Hurdal";2854
"K-3038 Hole";6799
"K-3039 Flå";1050
"K-3040 Nesbyen";3273
"K-3041 Gol";4608
"K-3042 Hemsedal";2486
"K-3043 Ål";4674
"K-3044 Hol";4441
"K-3045 Sigdal";3467
"K-3046 Krødsherad";2212
"K-3047 Modum";14115
"K-3048 Øvre Eiker";19423
"K-3049 Lier";26811
"K-3050 Flesberg";2688
"K-3051 Rollag";1390
"K-3052 Nore og Uvdal";2439
"K-3053 Jevnaker";6852
"K-3054 Lunner";9048
"K-0301 Oslo";693494
"K-3401 Kongsvinger";17829
"K-3403 Hamar";31369
"K-3405 Lillehammer";28345
"K-3407 Gjøvik";30560
"K-3411 Ringsaker";34768
"K-3412 Løten";7674
"K-3413 Stange";21064
"K-3414 Nord-Odal";5016
"K-3415 Sør-Odal";7905
"K-3416 Eidskog";6106
"K-3417 Grue";4612
"K-3418 Åsnes";7203
"K-3419 Våler (Innlandet)";3662
"K-3420 Elverum";21254
"K-3421 Trysil";6627
"K-3422 Åmot";4356
"K-3423 Stor-Elvdal";2419
"K-3424 Rendalen";1780
"K-3425 Engerdal";1268
"K-3426 Tolga";1562
"K-3427 Tynset";5578
"K-3428 Alvdal";2432
"K-3429 Folldal";1545
"K-3430 Os";1891
"K-3431 Dovre";2553
"K-3432 Lesja";1975
"K-3433 Skjåk";2197
"K-3434 Lom";2228
"K-3435 Vågå";3570
"K-3436 Nord-Fron";5723
"K-3437 Sel";5739
"K-3438 Sør-Fron";3119
"K-3439 Ringebu";4392
"K-3440 Øyer";5100
"K-3441 Gausdal";6106
"K-3442 Østre Toten";14973
"K-3443 Vestre Toten";13427
"K-3446 Gran";13630
"K-3447 Søndre Land";5617
"K-3448 Nordre Land";6633
"K-3449 Sør-Aurdal";2954
"K-3450 Etnedal";1279
"K-3451 Nord-Aurdal";6413
"K-3452 Vestre Slidre";2125
"K-3453 Øystre Slidre";3229
"K-3454 Vang";1578
"K-3801 Horten";27351
"K-3802 Holmestrand";24699
"K-3803 Tønsberg";56293
"K-3804 Sandefjord";63764
"K-3805 Larvik";47204
"K-3806 Porsgrunn";36397
"K-3807 Skien";54942
"K-3808 Notodden";13049
"K-3811 Færder";26730
"K-3812 Siljan";2340
"K-3813 Bamble";14061
"K-3814 Kragerø";10380
"K-3815 Drangedal";4060
"K-3816 Nome";6515
"K-3817 Midt-Telemark";10444
"K-3818 Tinn";5691
"K-3819 Hjartdal";1573
"K-3820 Seljord";2888
"K-3821 Kviteseid";2403
"K-3822 Nissedal";1448
"K-3823 Fyresdal";1287
"K-3824 Tokke";2201
"K-3825 Vinje";3676
"K-4201 Risør";6809
"K-4202 Grimstad";23544
"K-4203 Arendal";44999
"K-4204 Kristiansand";111633
"K-4205 Lindesnes";23046
"K-4206 Farsund";9691
"K-4207 Flekkefjord";9028
"K-4211 Gjerstad";2428
"K-4212 Vegårshei";2097
"K-4213 Tvedestrand";6053
"K-4214 Froland";5951
"K-4215 Lillesand";11074
"K-4216 Birkenes";5226
"K-4217 Åmli";1836
"K-4218 Iveland";1331
"K-4219 Evje og Hornnes";3634
"K-4220 Bygland";1162
"K-4221 Valle";1164
"K-4222 Bykle";965
"K-4223 Vennesla";14774
"K-4224 Åseral";932
"K-4225 Lyngdal";10365
"K-4226 Hægebostad";1680
"K-4227 Kvinesdal";5987
"K-4228 Sirdal";1822
"K-1101 Eigersund";14811
"K-1103 Stavanger";143574
"K-1106 Haugesund";37357
"K-1108 Sandnes";79537
"K-1111 Sokndal";3280
"K-1112 Lund";3202
"K-1114 Bjerkreim";2787
"K-1119 Hå";18991
"K-1120 Klepp";19588
"K-1121 Time";18916
"K-1122 Gjesdal";12002
"K-1124 Sola";27153
"K-1127 Randaberg";11221
"K-1130 Strand";12968
"K-1133 Hjelmeland";2574
"K-1134 Suldal";3804
"K-1135 Sauda";4595
"K-1144 Kvitsøy";517
"K-1145 Bokn";852
"K-1146 Tysvær";11065
"K-1149 Karmøy";42186
"K-1151 Utsira";198
"K-1160 Vindafjord";8714
"K-4601 Bergen";283929
"K-4602 Kinn";17207
"K-4611 Etne";4062
"K-4612 Sveio";5766
"K-4613 Bømlo";11957
"K-4614 Stord";18759
"K-4615 Fitjar";3189
"K-4616 Tysnes";2869
"K-4617 Kvinnherad";13071
"K-4618 Ullensvang";11048
"K-4619 Eidfjord";906
"K-4620 Ulvik";1080
"K-4621 Voss";15740
"K-4622 Kvam";8457
"K-4623 Samnanger";2485
"K-4624 Bjørnafjorden";24908
"K-4625 Austevoll";5236
"K-4626 Øygarden";38316
"K-4627 Askøy";29553
"K-4628 Vaksdal";3977
"K-4629 Modalen";388
"K-4630 Osterøy";8098
"K-4631 Alver";29224
"K-4632 Austrheim";2870
"K-4633 Fedje";548
"K-4634 Masfjorden";1691
"K-4635 Gulen";2297
"K-4636 Solund";802
"K-4637 Hyllestad";1328
"K-4638 Høyanger";4101
"K-4639 Vik";2635
"K-4640 Sogndal";11847
"K-4641 Aurland";1781
"K-4642 Lærdal";2126
"K-4643 Årdal";5193
"K-4644 Luster";5174
"K-4645 Askvoll";3011
"K-4646 Fjaler";2802
"K-4647 Sunnfjord";22030
"K-4648 Bremanger";3629
"K-4649 Stad";9457
"K-4650 Gloppen";5854
"K-4651 Stryn";7130
"K-1505 Kristiansund";24179
"K-1506 Molde";31967
"K-1507 Ålesund";66258
"K-1511 Vanylven";3117
"K-1514 Sande";2461
"K-1515 Herøy (Møre og Romsdal)";8900
"K-1516 Ulstein";8571
"K-1517 Hareid";5175
"K-1520 Ørsta";10825
"K-1525 Stranda";4523
"K-1528 Sykkylven";7625
"K-1531 Sula";9310
"K-1532 Giske";8462
"K-1535 Vestnes";6532
"K-1539 Rauma";7468
"K-1547 Aukra";3509
"K-1554 Averøy";5788
"K-1557 Gjemnes";2629
"K-1560 Tingvoll";3025
"K-1563 Sunndal";7036
"K-1566 Surnadal";5920
"K-1573 Smøla";2150
"K-1576 Aure";3507
"K-1577 Volda";10473
"K-1578 Fjord";2549
"K-1579 Hustadvika";13279
"K-5001 Trondheim";205163
"K-5006 Steinkjer";24357
"K-5007 Namsos";15230
"K-5014 Frøya";5151
"K-5020 Osen";948
"K-5021 Oppdal";7001
"K-5022 Rennebu";2486
"K-5025 Røros";5581
"K-5026 Holtålen";1981
"K-5027 Midtre Gauldal";6238
"K-5028 Melhus";16733
"K-5029 Skaun";8325
"K-5031 Malvik";14148
"K-5032 Selbu";4062
"K-5033 Tydal";769
"K-5034 Meråker";2422
"K-5035 Stjørdal";24145
"K-5036 Frosta";2627
"K-5037 Levanger";20164
"K-5038 Verdal";14948
"K-5041 Snåase - Snåsa";2063
"K-5042 Lierne";1355
"K-5043 Raarvihke - Røyrvik";461
"K-5044 Namsskogan";843
"K-5045 Grong";2359
"K-5046 Høylandet";1231
"K-5047 Overhalla";3884
"K-5049 Flatanger";1103
"K-5052 Leka";557
"K-5053 Inderøy";6816
"K-5054 Indre Fosen";10084
"K-5055 Heim";5963
"K-5056 Hitra";5050
"K-5057 Ørland";10323
"K-5058 Åfjord";4288
"K-5059 Orkland";18217
"K-5060 Nærøysund";9623
"K-5061 Rindal";2003
"K-1804 Bodø";52357
"K-1806 Narvik";21845
"K-1811 Bindal";1426
"K-1812 Sømna";1975
