"07459: Befolkning, etter region, statistikkvariabel og år"

"region";"Personer 2020"
"K-1813 Brønnøy";7917
"K-1815 Vega";1200
"K-1816 Vevelstad";462
"K-1818 Herøy (Nordland)";1777
"K-1820 Alstahaug";7447
"K-1822 Leirfjord";2294
"K-1824 Vefsn";13278
"K-1825 Grane";1482
"K-1826 Hattfjelldal";1297
"K-1827 Dønna";1371
"K-1828 Nesna";1761
"K-1832 Hemnes";4454
"K-1833 Rana";26184
"K-1834 Lurøy";1890
"K-1835 Træna";435
"K-1836 Rødøy";1213
"K-1837 Meløy";6288
"K-1838 Gildeskål";1950
"K-1839 Beiarn";1017
"K-1840 Saltdal";4671
"K-1841 Fauske - Fuosko";9739
"K-1845 Sørfold";1926
"K-1848 Steigen";2608
"K-1851 Lødingen";2034
"K-1853 Evenes - Evenássi";1348
"K-1856 Røst";498
"K-1857 Værøy";728
"K-1859 Flakstad";1272
"K-1860 Vestvågøy";11433
"K-1865 Vågan";9608
"K-1866 Hadsel";8061
"K-1867 Bø";2569
"K-1868 Øksnes";4410
"K-1870 Sortland - Suortá";10566
"K-1871 Andøy";4663
"K-1874 Moskenes";1015
"K-1875 Hamarøy";2766
"K-5401 Tromsø";76974
"K-5402 Harstad";24703
"K-5403 Alta";20789
"K-5404 Vardø";2029
"K-5405 Vadsø";5788
"K-5406 Hammerfest";11448
"K-5411 Kvæfjord";2839
"K-5412 Tjeldsund";4216
"K-5413 Ibestad";1361
"K-5414 Gratangen";1091
"K-5415 Loabák - Lavangen";1034
"K-5416 Bardu";4005
"K-5417 Salangen";2146
"K-5418 Målselv";6640
"K-5419 Sørreisa";3464
"K-5420 Dyrøy";1083
"K-5421 Senja";14851
"K-5422 Balsfjord";5559
"K-5423 Karlsøy";2200
"K-5424 Lyngen";2794
"K-5425 Storfjord - Omasvuotna - Omasvuono";1829
"K-5426 Gáivuotna - Kåfjord - Kaivuono";2071
"K-5427 Skjervøy";2927
"K-5428 Nordreisa";4861
"K-5429 Kvænangen";1191
"K-5430 Guovdageaidnu - Kautokeino";2910
"K-5432 Loppa";888
"K-5433 Hasvik";1005
"K-5434 Måsøy";1225
"K-5435 Nordkapp";3162
"K-5436 Porsanger - Porsángu - Porsanki ";3998
"K-5437 Kárásjohka - Karasjok";2628
"K-5438 Lebesby";1290
"K-5439 Gamvik";1132
"K-5440 Berlevåg";957
"K-5441 Deatnu - Tana";2918
"K-5442 Unjárga - Nesseby";926
"K-5443 Båtsfjord";2221
"K-5444 Sør-Varanger";10158
"K-21-22 Svalbard og Jan Mayen";0
"K-23 Kontinentalsokkelen";0
"K-Rest Delte kommuner og uoppgitt";0
