"07459: Befolkning, etter region, statistikkvariabel og år"

"region";"Personer 2019"
"K-1505 Kristiansund";24274
"K-1506 Molde";31976
"K-1507 Ålesund";65633
"K-1511 Vanylven";3163
"K-1514 Sande";2493
"K-1515 Herøy (Møre og Romsdal)";8927
"K-1516 Ulstein";8609
"K-1517 Hareid";5155
"K-1520 Ørsta";10857
"K-1525 Stranda";4565
"K-1528 Sykkylven";7657
"K-1531 Sula";9271
"K-1532 Giske";8398
"K-1535 Vestnes";6536
"K-1539 Rauma";7487
"K-1547 Aukra";3539
"K-1554 Averøy";5849
"K-1557 Gjemnes";2641
"K-1560 Tingvoll";3045
"K-1563 Sunndal";7106
"K-1566 Surnadal";5928
"K-1573 Smøla";2134
"K-1576 Aure";3553
"K-1577 Volda";10349
"K-1578 Fjord";2592
"K-1579 Hustadvika";13233
"K-5001 Trondheim";202235
"K-5006 Steinkjer";24539
"K-5007 Namsos";15294
"K-5014 Frøya";5068
"K-5020 Osen";947
"K-5021 Oppdal";6975
"K-5022 Rennebu";2501
"K-5025 Røros";5610
"K-5026 Holtålen";2025
"K-5027 Midtre Gauldal";6246
"K-5028 Melhus";16562
"K-5029 Skaun";8231
"K-5031 Malvik";14040
"K-5032 Selbu";4088
"K-5033 Tydal";794
"K-5034 Meråker";2432
"K-5035 Stjørdal";24028
"K-5036 Frosta";2632
"K-5037 Levanger";20254
"K-5038 Verdal";14933
"K-5041 Snåase - Snåsa";2100
"K-5042 Lierne";1386
"K-5043 Raarvihke - Røyrvik";482
"K-5044 Namsskogan";871
"K-5045 Grong";2374
"K-5046 Høylandet";1254
"K-5047 Overhalla";3879
"K-5049 Flatanger";1103
"K-5052 Leka";567
"K-5053 Inderøy";6804
"K-5054 Indre Fosen";9988
"K-5055 Heim";0
"K-5056 Hitra";0
"K-5057 Ørland";10238
"K-5058 Åfjord";4297
"K-5059 Orkland";0
"K-5060 Nærøysund";9650
"K-5061 Rindal";2028
"K-1804 Bodø";52024
"K-1806 Narvik";0
"K-1811 Bindal";1450
"K-1812 Sømna";2014
"K-1813 Brønnøy";7916
"K-1815 Vega";1232
"K-1816 Vevelstad";497
"K-1818 Herøy (Nordland)";1780
"K-1820 Alstahaug";7415
"K-1822 Leirfjord";2320
"K-1824 Vefsn";13403
"K-1825 Grane";1493
"K-1826 Hattfjelldal";1359
"K-1827 Dønna";1391
"K-1828 Nesna";1792
"K-1832 Hemnes";4501
"K-1833 Rana";26315
"K-1834 Lurøy";1904
"K-1835 Træna";456
"K-1836 Rødøy";1238
"K-1837 Meløy";6331
"K-1838 Gildeskål";1978
"K-1839 Beiarn";1022
"K-1840 Saltdal";4657
"K-1841 Fauske - Fuosko";9760
"K-1845 Sørfold";1975
"K-1848 Steigen";2576
"K-1851 Lødingen";2077
"K-1853 Evenes - Evenássi";1387
"K-1856 Røst";508
"K-1857 Værøy";732
"K-1859 Flakstad";1292
"K-1860 Vestvågøy";11480
"K-1865 Vågan";9595
"K-1866 Hadsel";8091
"K-1867 Bø";2616
"K-1868 Øksnes";4449
"K-1870 Sortland - Suortá";10518
"K-1871 Andøy";4771
"K-1874 Moskenes";1039
"K-1875 Hamarøy";0
"K-5401 Tromsø";76649
"K-5402 Harstad";24827
"K-5403 Alta";20665
"K-5404 Vardø";2081
"K-5405 Vadsø";5894
"K-5406 Hammerfest";11524
"K-5411 Kvæfjord";2858
"K-5412 Tjeldsund";4268
"K-5413 Ibestad";1375
"K-5414 Gratangen";1105
"K-5415 Loabák - Lavangen";1042
"K-5416 Bardu";4030
"K-5417 Salangen";2183
"K-5418 Målselv";6805
"K-5419 Sørreisa";3489
"K-5420 Dyrøy";1129
"K-5421 Senja";15011
"K-5422 Balsfjord";5625
"K-5423 Karlsøy";2252
"K-5424 Lyngen";2847
"K-5425 Storfjord - Omasvuotna - Omasvuono";1841
"K-5426 Gáivuotna - Kåfjord - Kaivuono";2097
"K-5427 Skjervøy";2917
"K-5428 Nordreisa";4909
"K-5429 Kvænangen";1202
"K-5430 Guovdageaidnu - Kautokeino";2924
"K-5432 Loppa";917
"K-5433 Hasvik";1045
"K-5434 Måsøy";1235
"K-5435 Nordkapp";3218
"K-5436 Porsanger - Porsángu - Porsanki ";3944
"K-5437 Kárásjohka - Karasjok";2673
"K-5438 Lebesby";1328
"K-5439 Gamvik";1169
"K-5440 Berlevåg";981
"K-5441 Deatnu - Tana";2900
"K-5442 Unjárga - Nesseby";941
"K-5443 Båtsfjord";2270
"K-5444 Sør-Varanger";10156
"K-21-22 Svalbard og Jan Mayen";0
"K-23 Kontinentalsokkelen";0
"K-Rest Delte kommuner og uoppgitt";53951
