"07459: Befolkning, etter region, år og statistikkvariabel"

"region";"år";"Personer"
"K-3001 Halden";"2021";31387
"K-3002 Moss";"2021";49668
"K-3003 Sarpsborg";"2021";57372
"K-3004 Fredrikstad";"2021";83193
"K-3005 Drammen";"2021";101859
"K-3006 Kongsberg";"2021";27694
"K-3007 Ringerike";"2021";30835
"K-3011 Hvaler";"2021";4694
"K-3012 Aremark";"2021";1325
"K-3013 Marker";"2021";3601
"K-3014 Indre Østfold";"2021";45201
"K-3015 Skiptvet";"2021";3825
"K-3016 Rakkestad";"2021";8222
"K-3017 Råde";"2021";7568
"K-3018 Våler (Viken)";"2021";5805
"K-3019 Vestby";"2021";18290
"K-3020 Nordre Follo";"2021";60034
"K-3021 Ås";"2021";20439
"K-3022 Frogn";"2021";15953
"K-3023 Nesodden";"2021";19805
"K-3024 Bærum";"2021";128233
"K-3025 Asker";"2021";94915
"K-3026 Aurskog-Høland";"2021";17591
"K-3027 Rælingen";"2021";18730
"K-3028 Enebakk";"2021";11065
"K-3029 Lørenskog";"2021";42740
"K-3030 Lillestrøm";"2021";86953
"K-3031 Nittedal";"2021";24454
"K-3032 Gjerdrum";"2021";7043
"K-3033 Ullensaker";"2021";40459
"K-3034 Nes";"2021";23422
"K-3035 Eidsvoll";"2021";26031
"K-3036 Nannestad";"2021";14637
"K-3037 Hurdal";"2021";2838
"K-3038 Hole";"2021";6811
"K-3039 Flå";"2021";1049
"K-3040 Nesbyen";"2021";3262
"K-3041 Gol";"2021";4636
"K-3042 Hemsedal";"2021";2546
"K-3043 Ål";"2021";4648
"K-3044 Hol";"2021";4434
"K-3045 Sigdal";"2021";3465
"K-3046 Krødsherad";"2021";2219
"K-3047 Modum";"2021";14166
"K-3048 Øvre Eiker";"2021";19709
"K-3049 Lier";"2021";27118
"K-3050 Flesberg";"2021";2713
"K-3051 Rollag";"2021";1386
"K-3052 Nore og Uvdal";"2021";2412
"K-3053 Jevnaker";"2021";6867
"K-3054 Lunner";"2021";9062
"K-0301 Oslo";"2021";697010
"K-3401 Kongsvinger";"2021";17851
"K-3403 Hamar";"2021";31509
"K-3405 Lillehammer";"2021";28493
"K-3407 Gjøvik";"2021";30395
"K-3411 Ringsaker";"2021";34897
"K-3412 Løten";"2021";7625
"K-3413 Stange";"2021";21072
"K-3414 Nord-Odal";"2021";5038
"K-3415 Sør-Odal";"2021";7914
"K-3416 Eidskog";"2021";6099
"K-3417 Grue";"2021";4545
"K-3418 Åsnes";"2021";7227
"K-3419 Våler (Innlandet)";"2021";3587
"K-3420 Elverum";"2021";21292
"K-3421 Trysil";"2021";6580
"K-3422 Åmot";"2021";4338
"K-3423 Stor-Elvdal";"2021";2378
"K-3424 Rendalen";"2021";1741
"K-3425 Engerdal";"2021";1250
"K-3426 Tolga";"2021";1563
"K-3427 Tynset";"2021";5537
"K-3428 Alvdal";"2021";2405
"K-3429 Folldal";"2021";1518
"K-3430 Os";"2021";1870
"K-3431 Dovre";"2021";2512
"K-3432 Lesja";"2021";1980
"K-3433 Skjåk";"2021";2183
"K-3434 Lom";"2021";2204
"K-3435 Vågå";"2021";3564
"K-3436 Nord-Fron";"2021";5705
"K-3437 Sel";"2021";5592
"K-3438 Sør-Fron";"2021";3064
"K-3439 Ringebu";"2021";4408
"K-3440 Øyer";"2021";5093
"K-3441 Gausdal";"2021";6023
"K-3442 Østre Toten";"2021";14871
"K-3443 Vestre Toten";"2021";13459
"K-3446 Gran";"2021";13611
"K-3447 Søndre Land";"2021";5579
"K-3448 Nordre Land";"2021";6581
"K-3449 Sør-Aurdal";"2021";2904
"K-3450 Etnedal";"2021";1257
"K-3451 Nord-Aurdal";"2021";6360
"K-3452 Vestre Slidre";"2021";2120
"K-3453 Øystre Slidre";"2021";3236
"K-3454 Vang";"2021";1573
"K-3801 Horten";"2021";27510
"K-3802 Holmestrand";"2021";25011
"K-3803 Tønsberg";"2021";57026
"K-3804 Sandefjord";"2021";64345
"K-3805 Larvik";"2021";47499
"K-3806 Porsgrunn";"2021";36526
"K-3807 Skien";"2021";55144
"K-3808 Notodden";"2021";12994
"K-3811 Færder";"2021";26957
"K-3812 Siljan";"2021";2347
"K-3813 Bamble";"2021";14014
"K-3814 Kragerø";"2021";10416
"K-3815 Drangedal";"2021";4071
"K-3816 Nome";"2021";6488
"K-3817 Midt-Telemark";"2021";10461
"K-3818 Tinn";"2021";5604
"K-3819 Hjartdal";"2021";1561
"K-3820 Seljord";"2021";2900
"K-3821 Kviteseid";"2021";2430
"K-3822 Nissedal";"2021";1430
"K-3823 Fyresdal";"2021";1228
"K-3824 Tokke";"2021";2164
"K-3825 Vinje";"2021";3756
"K-4201 Risør";"2021";6762
"K-4202 Grimstad";"2021";23891
"K-4203 Arendal";"2021";45065
"K-4204 Kristiansand";"2021";112588
"K-4205 Lindesnes";"2021";23055
"K-4206 Farsund";"2021";9645
"K-4207 Flekkefjord";"2021";9027
"K-4211 Gjerstad";"2021";2430
"K-4212 Vegårshei";"2021";2128
"K-4213 Tvedestrand";"2021";6067
"K-4214 Froland";"2021";6004
"K-4215 Lillesand";"2021";11180
"K-4216 Birkenes";"2021";5274
"K-4217 Åmli";"2021";1822
"K-4218 Iveland";"2021";1335
"K-4219 Evje og Hornnes";"2021";3619
"K-4220 Bygland";"2021";1142
"K-4221 Valle";"2021";1169
"K-4222 Bykle";"2021";930
"K-4223 Vennesla";"2021";14935
"K-4224 Åseral";"2021";927
"K-4225 Lyngdal";"2021";10464
"K-4226 Hægebostad";"2021";1690
"K-4227 Kvinesdal";"2021";5922
"K-4228 Sirdal";"2021";1772
"K-1101 Eigersund";"2021";14787
"K-1103 Stavanger";"2021";144147
"K-1106 Haugesund";"2021";37323
"K-1108 Sandnes";"2021";80450
"K-1111 Sokndal";"2021";3257
"K-1112 Lund";"2021";3174
"K-1114 Bjerkreim";"2021";2791
"K-1119 Hå";"2021";19120
"K-1120 Klepp";"2021";19848
"K-1121 Time";"2021";19106
"K-1122 Gjesdal";"2021";12064
"K-1124 Sola";"2021";27457
"K-1127 Randaberg";"2021";11315
"K-1130 Strand";"2021";13070
"K-1133 Hjelmeland";"2021";2580
"K-1134 Suldal";"2021";3809
"K-1135 Sauda";"2021";4561
"K-1144 Kvitsøy";"2021";507
"K-1145 Bokn";"2021";859
"K-1146 Tysvær";"2021";11178
"K-1149 Karmøy";"2021";42345
"K-1151 Utsira";"2021";192
"K-1160 Vindafjord";"2021";8705
"K-4601 Bergen";"2021";285601
"K-4602 Kinn";"2021";17160
"K-4611 Etne";"2021";4053
"K-4612 Sveio";"2021";5798
"K-4613 Bømlo";"2021";11953
"K-4614 Stord";"2021";18861
"K-4615 Fitjar";"2021";3147
"K-4616 Tysnes";"2021";2924
"K-4617 Kvinnherad";"2021";13039
"K-4618 Ullensvang";"2021";11002
"K-4619 Eidfjord";"2021";903
"K-4620 Ulvik";"2021";1061
"K-4621 Voss";"2021";15787
"K-4622 Kvam";"2021";8461
"K-4623 Samnanger";"2021";2504
"K-4624 Bjørnafjorden";"2021";25049
"K-4625 Austevoll";"2021";5276
"K-4626 Øygarden";"2021";38664
"K-4627 Askøy";"2021";29594
"K-4628 Vaksdal";"2021";3918
"K-4629 Modalen";"2021";376
"K-4630 Osterøy";"2021";8080
"K-4631 Alver";"2021";29337
"K-4632 Austrheim";"2021";2860
"K-4633 Fedje";"2021";525
"K-4634 Masfjorden";"2021";1660
"K-4635 Gulen";"2021";2272
"K-4636 Solund";"2021";786
"K-4637 Hyllestad";"2021";1294
"K-4638 Høyanger";"2021";4049
"K-4639 Vik";"2021";2611
"K-4640 Sogndal";"2021";11938
"K-4641 Aurland";"2021";1777
"K-4642 Lærdal";"2021";2129
"K-4643 Årdal";"2021";5170
"K-4644 Luster";"2021";5189
"K-4645 Askvoll";"2021";2991
"K-4646 Fjaler";"2021";2885
"K-4647 Sunnfjord";"2021";22020
"K-4648 Bremanger";"2021";3597
"K-4649 Stad";"2021";9517
"K-4650 Gloppen";"2021";5885
"K-4651 Stryn";"2021";7118
"K-1505 Kristiansund";"2021";24099
"K-1506 Molde";"2021";31870
"K-1507 Ålesund";"2021";66670
"K-1511 Vanylven";"2021";3083
"K-1514 Sande";"2021";2445
"K-1515 Herøy (Møre og Romsdal)";"2021";8858
"K-1516 Ulstein";"2021";8575
"K-1517 Hareid";"2021";5140
"K-1520 Ørsta";"2021";10830
"K-1525 Stranda";"2021";4482
"K-1528 Sykkylven";"2021";7596
"K-1531 Sula";"2021";9409
"K-1532 Giske";"2021";8506
"K-1535 Vestnes";"2021";6958
"K-1539 Rauma";"2021";7026
"K-1547 Aukra";"2021";3522
"K-1554 Averøy";"2021";5808
"K-1557 Gjemnes";"2021";2658
"K-1560 Tingvoll";"2021";2985
"K-1563 Sunndal";"2021";6956
"K-1566 Surnadal";"2021";5872
"K-1573 Smøla";"2021";2128
"K-1576 Aure";"2021";3468
"K-1577 Volda";"2021";10781
"K-1578 Fjord";"2021";2502
"K-1579 Hustadvika";"2021";13317
"K-5001 Trondheim";"2021";207595
"K-5006 Steinkjer";"2021";24152
"K-5007 Namsos";"2021";15096
"K-5014 Frøya";"2021";5204
"K-5020 Osen";"2021";925
"K-5021 Oppdal";"2021";6981
"K-5022 Rennebu";"2021";2454
"K-5025 Røros";"2021";5550
"K-5026 Holtålen";"2021";1968
"K-5027 Midtre Gauldal";"2021";6243
"K-5028 Melhus";"2021";16949
"K-5029 Skaun";"2021";8367
"K-5031 Malvik";"2021";14334
"K-5032 Selbu";"2021";4069
"K-5033 Tydal";"2021";759
"K-5034 Meråker";"2021";2413
"K-5035 Stjørdal";"2021";24283
"K-5036 Frosta";"2021";2609
"K-5037 Levanger";"2021";20170
"K-5038 Verdal";"2021";14986
"K-5041 Snåase - Snåsa";"2021";2054
"K-5042 Lierne";"2021";1328
"K-5043 Raarvihke - Røyrvik";"2021";459
"K-5044 Namsskogan";"2021";846
"K-5045 Grong";"2021";2347
"K-5046 Høylandet";"2021";1215
"K-5047 Overhalla";"2021";3865
"K-5049 Flatanger";"2021";1100
"K-5052 Leka";"2021";563
"K-5053 Inderøy";"2021";6764
"K-5054 Indre Fosen";"2021";9948
"K-5055 Heim";"2021";5941
"K-5056 Hitra";"2021";5140
"K-5057 Ørland";"2021";10306
"K-5058 Åfjord";"2021";4271
"K-5059 Orkland";"2021";18300
"K-5060 Nærøysund";"2021";9581
"K-5061 Rindal";"2021";1989
"K-1804 Bodø";"2021";52560
"K-1806 Narvik";"2021";21661
"K-1811 Bindal";"2021";1397
"K-1812 Sømna";"2021";1990
"K-1813 Brønnøy";"2021";7803
"K-1815 Vega";"2021";1182
"K-1816 Vevelstad";"2021";465
"K-1818 Herøy (Nordland)";"2021";1793
"K-1820 Alstahaug";"2021";7394
"K-1822 Leirfjord";"2021";2278
"K-1824 Vefsn";"2021";13268
"K-1825 Grane";"2021";1453
"K-1826 Hattfjelldal";"2021";1267
"K-1827 Dønna";"2021";1371
"K-1828 Nesna";"2021";1701
"K-1832 Hemnes";"2021";4428
"K-1833 Rana";"2021";26083
"K-1834 Lurøy";"2021";1876
"K-1835 Træna";"2021";442
"K-1836 Rødøy";"2021";1206
"K-1837 Meløy";"2021";6247
"K-1838 Gildeskål";"2021";1920
"K-1839 Beiarn";"2021";999
"K-1840 Saltdal";"2021";4632
"K-1841 Fauske - Fuosko";"2021";9640
"K-1845 Sørfold";"2021";1912
"K-1848 Steigen";"2021";2586
"K-1851 Lødingen";"2021";2003
"K-1853 Evenes - Evenássi";"2021";1324
"K-1856 Røst";"2021";488
"K-1857 Værøy";"2021";698
"K-1859 Flakstad";"2021";1238
"K-1860 Vestvågøy";"2021";11521
"K-1865 Vågan";"2021";9670
"K-1866 Hadsel";"2021";8065
"K-1867 Bø";"2021";2576
"K-1868 Øksnes";"2021";4416
"K-1870 Sortland - Suortá";"2021";10514
"K-1871 Andøy";"2021";4588
"K-1874 Moskenes";"2021";989
"K-1875 Hamarøy";"2021";2701
"K-5401 Tromsø";"2021";77095
"K-5402 Harstad";"2021";24738
"K-5403 Alta";"2021";20847
"K-5404 Vardø";"2021";1959
"K-5405 Vadsø";"2021";5642
"K-5406 Hammerfest";"2021";11331
"K-5411 Kvæfjord";"2021";2822
"K-5412 Tjeldsund";"2021";4209
"K-5413 Ibestad";"2021";1320
"K-5414 Gratangen";"2021";1092
"K-5415 Loabák - Lavangen";"2021";1020
"K-5416 Bardu";"2021";3959
"K-5417 Salangen";"2021";2089
"K-5418 Målselv";"2021";6609
"K-5419 Sørreisa";"2021";3465
"K-5420 Dyrøy";"2021";1063
"K-5421 Senja";"2021";14725
"K-5422 Balsfjord";"2021";5559
"K-5423 Karlsøy";"2021";2172
"K-5424 Lyngen";"2021";2773
"K-5425 Storfjord - Omasvuotna - Omasvuono";"2021";1831
"K-5426 Gáivuotna - Kåfjord - Kaivuono";"2021";2072
"K-5427 Skjervøy";"2021";2893
"K-5428 Nordreisa";"2021";4812
"K-5429 Kvænangen";"2021";1166
"K-5430 Guovdageaidnu - Kautokeino";"2021";2920
"K-5432 Loppa";"2021";860
"K-5433 Hasvik";"2021";983
"K-5434 Måsøy";"2021";1197
"K-5435 Nordkapp";"2021";3075
"K-5436 Porsanger - Porsángu - Porsanki ";"2021";3921
"K-5437 Kárásjohka - Karasjok";"2021";2641
"K-5438 Lebesby";"2021";1271
"K-5439 Gamvik";"2021";1097
"K-5440 Berlevåg";"2021";928
"K-5441 Deatnu - Tana";"2021";2829
