"07459: Befolkning, etter region, år og statistikkvariabel"

"region";"år";"Personer"
"K-1149 Karmøy";"2017";42229
"K-1151 Utsira";"2017";201
"K-1160 Vindafjord";"2017";8828
"K-4601 Bergen";"2017";278556
"K-4602 Kinn";"2017";18030
"K-4611 Etne";"2017";4135
"K-4612 Sveio";"2017";5656
"K-4613 Bømlo";"2017";11806
"K-4614 Stord";"2017";18821
"K-4615 Fitjar";"2017";3189
"K-4616 Tysnes";"2017";2847
"K-4617 Kvinnherad";"2017";13241
"K-4618 Ullensvang";"2017";11510
"K-4619 Eidfjord";"2017";921
"K-4620 Ulvik";"2017";1131
"K-4621 Voss";"2017";15447
"K-4622 Kvam";"2017";8423
"K-4623 Samnanger";"2017";2488
"K-4624 Bjørnafjorden";"2017";24047
"K-4625 Austevoll";"2017";5156
"K-4626 Øygarden";"2017";37175
"K-4627 Askøy";"2017";28821
"K-4628 Vaksdal";"2017";4123
"K-4629 Modalen";"2017";383
"K-4630 Osterøy";"2017";8026
"K-4631 Alver";"2017";28880
"K-4632 Austrheim";"2017";2884
"K-4633 Fedje";"2017";587
"K-4634 Masfjorden";"2017";1710
"K-4635 Gulen";"2017";2371
"K-4636 Solund";"2017";794
"K-4637 Hyllestad";"2017";1438
"K-4638 Høyanger";"2017";4190
"K-4639 Vik";"2017";2722
"K-4640 Sogndal";"2017";11561
"K-4641 Aurland";"2017";1787
"K-4642 Lærdal";"2017";2159
"K-4643 Årdal";"2017";5363
"K-4644 Luster";"2017";5151
"K-4645 Askvoll";"2017";3065
"K-4646 Fjaler";"2017";2862
"K-4647 Sunnfjord";"2017";21872
"K-4648 Bremanger";"2017";3847
"K-4649 Stad";"2017";8855
"K-4650 Gloppen";"2017";5783
"K-4651 Stryn";"2017";7218
"K-1505 Kristiansund";"2017";24442
"K-1506 Molde";"2017";31870
"K-1507 Ålesund";"2017";64720
"K-1511 Vanylven";"2017";3203
"K-1514 Sande";"2017";2540
"K-1515 Herøy (Møre og Romsdal)";"2017";8957
"K-1516 Ulstein";"2017";8457
"K-1517 Hareid";"2017";5185
"K-1520 Ørsta";"2017";10744
"K-1525 Stranda";"2017";4623
"K-1528 Sykkylven";"2017";7695
"K-1531 Sula";"2017";9007
"K-1532 Giske";"2017";8176
"K-1535 Vestnes";"2017";6577
"K-1539 Rauma";"2017";7503
"K-1547 Aukra";"2017";3547
"K-1554 Averøy";"2017";5856
"K-1557 Gjemnes";"2017";2611
"K-1560 Tingvoll";"2017";3109
"K-1563 Sunndal";"2017";7126
"K-1566 Surnadal";"2017";5986
"K-1573 Smøla";"2017";2160
"K-1576 Aure";"2017";3590
