"07459: Befolkning, etter region, statistikkvariabel og år"

"region";"Personer 2018"
"K-3001 Halden";31037
"K-3002 Moss";48671
"K-3003 Sarpsborg";55543
"K-3004 Fredrikstad";80977
"K-3005 Drammen";100302
"K-3006 Kongsberg";27410
"K-3007 Ringerike";30283
"K-3011 Hvaler";4540
"K-3012 Aremark";1399
"K-3013 Marker";3567
"K-3014 Indre Østfold";44035
"K-3015 Skiptvet";3831
"K-3016 Rakkestad";8202
"K-3017 Råde";7465
"K-3018 Våler (Viken)";5471
"K-3019 Vestby";17486
"K-3020 Nordre Follo";58058
"K-3021 Ås";20084
"K-3022 Frogn";15735
"K-3023 Nesodden";19287
"K-3024 Bærum";125454
"K-3025 Asker";92828
"K-3026 Aurskog-Høland";17072
"K-3027 Rælingen";17874
"K-3028 Enebakk";10945
"K-3029 Lørenskog";38670
"K-3030 Lillestrøm";83821
"K-3031 Nittedal";23545
"K-3032 Gjerdrum";6704
"K-3033 Ullensaker";36576
"K-3034 Nes";21681
"K-3035 Eidsvoll";24647
"K-3036 Nannestad";13240
"K-3037 Hurdal";2903
"K-3038 Hole";6833
"K-3039 Flå";1069
"K-3040 Nesbyen";3341
"K-3041 Gol";4566
"K-3042 Hemsedal";2457
"K-3043 Ål";4626
"K-3044 Hol";4520
"K-3045 Sigdal";3488
"K-3046 Krødsherad";2277
"K-3047 Modum";13880
"K-3048 Øvre Eiker";18926
"K-3049 Lier";25980
"K-3050 Flesberg";2688
"K-3051 Rollag";1411
"K-3052 Nore og Uvdal";2482
"K-3053 Jevnaker";6777
"K-3054 Lunner";9065
"K-0301 Oslo";673469
"K-3401 Kongsvinger";17934
"K-3403 Hamar";30930
"K-3405 Lillehammer";27938
"K-3407 Gjøvik";30642
"K-3411 Ringsaker";34151
"K-3412 Løten";7615
"K-3413 Stange";20646
"K-3414 Nord-Odal";5097
"K-3415 Sør-Odal";7884
"K-3416 Eidskog";6142
"K-3417 Grue";4740
"K-3418 Åsnes";7279
"K-3419 Våler (Innlandet)";3680
"K-3420 Elverum";21123
"K-3421 Trysil";6567
"K-3422 Åmot";4480
"K-3423 Stor-Elvdal";2490
"K-3424 Rendalen";1827
"K-3425 Engerdal";1294
"K-3426 Tolga";1553
"K-3427 Tynset";5605
"K-3428 Alvdal";2424
"K-3429 Folldal";1569
"K-3430 Os";1936
"K-3431 Dovre";2642
"K-3432 Lesja";2038
"K-3433 Skjåk";2179
"K-3434 Lom";2331
"K-3435 Vågå";3638
"K-3436 Nord-Fron";5728
"K-3437 Sel";5872
"K-3438 Sør-Fron";3146
"K-3439 Ringebu";4454
"K-3440 Øyer";5130
"K-3441 Gausdal";6148
"K-3442 Østre Toten";14888
"K-3443 Vestre Toten";13314
"K-3446 Gran";13770
"K-3447 Søndre Land";5650
"K-3448 Nordre Land";6750
"K-3449 Sør-Aurdal";3014
"K-3450 Etnedal";1352
"K-3451 Nord-Aurdal";6443
"K-3452 Vestre Slidre";2139
"K-3453 Øystre Slidre";3221
"K-3454 Vang";1601
"K-3801 Horten";27317
"K-3802 Holmestrand";23938
"K-3803 Tønsberg";54981
"K-3804 Sandefjord";62615
"K-3805 Larvik";46801
"K-3806 Porsgrunn";36091
"K-3807 Skien";54510
"K-3808 Notodden";12664
"K-3811 Færder";26734
"K-3812 Siljan";2351
"K-3813 Bamble";14183
"K-3814 Kragerø";10506
"K-3815 Drangedal";4105
"K-3816 Nome";6609
"K-3817 Midt-Telemark";10819
"K-3818 Tinn";5856
"K-3819 Hjartdal";1587
"K-3820 Seljord";2959
