"07459: Befolkning, etter region, statistikkvariabel og år"

"region";"Personer 2018"
"K-3821 Kviteseid";2397
"K-3822 Nissedal";1489
"K-3823 Fyresdal";1320
"K-3824 Tokke";2236
"K-3825 Vinje";3709
"K-4201 Risør";6882
"K-4202 Grimstad";23017
"K-4203 Arendal";44645
"K-4204 Kristiansand";109438
"K-4205 Lindesnes";22905
"K-4206 Farsund";9726
"K-4207 Flekkefjord";9066
"K-4211 Gjerstad";2467
"K-4212 Vegårshei";2087
"K-4213 Tvedestrand";6086
"K-4214 Froland";5790
"K-4215 Lillesand";10871
"K-4216 Birkenes";5187
"K-4217 Åmli";1845
"K-4218 Iveland";1330
"K-4219 Evje og Hornnes";3625
"K-4220 Bygland";1207
"K-4221 Valle";1225
"K-4222 Bykle";958
"K-4223 Vennesla";14532
"K-4224 Åseral";943
"K-4225 Lyngdal";10357
"K-4226 Hægebostad";1699
"K-4227 Kvinesdal";6024
"K-4228 Sirdal";1842
"K-1101 Eigersund";14898
"K-1103 Stavanger";141186
"K-1106 Haugesund";37167
"K-1108 Sandnes";77574
"K-1111 Sokndal";3331
"K-1112 Lund";3237
"K-1114 Bjerkreim";2826
"K-1119 Hå";18762
"K-1120 Klepp";19217
"K-1121 Time";18699
"K-1122 Gjesdal";11866
"K-1124 Sola";26265
"K-1127 Randaberg";10972
"K-1130 Strand";12638
"K-1133 Hjelmeland";2723
"K-1134 Suldal";3849
"K-1135 Sauda";4663
"K-1144 Kvitsøy";542
"K-1145 Bokn";844
"K-1146 Tysvær";11023
"K-1149 Karmøy";42243
"K-1151 Utsira";208
"K-1160 Vindafjord";8793
"K-4601 Bergen";279792
"K-4602 Kinn";17989
"K-4611 Etne";4083
"K-4612 Sveio";5721
"K-4613 Bømlo";11902
"K-4614 Stord";18780
"K-4615 Fitjar";3194
"K-4616 Tysnes";2857
"K-4617 Kvinnherad";13180
"K-4618 Ullensvang";11294
"K-4619 Eidfjord";931
"K-4620 Ulvik";1117
"K-4621 Voss";15508
"K-4622 Kvam";8455
"K-4623 Samnanger";2463
"K-4624 Bjørnafjorden";24493
"K-4625 Austevoll";5189
"K-4626 Øygarden";37687
"K-4627 Askøy";29071
"K-4628 Vaksdal";4127
"K-4629 Modalen";380
"K-4630 Osterøy";8125
"K-4631 Alver";28997
"K-4632 Austrheim";2902
"K-4633 Fedje";561
"K-4634 Masfjorden";1730
"K-4635 Gulen";2345
"K-4636 Solund";807
"K-4637 Hyllestad";1378
"K-4638 Høyanger";4154
"K-4639 Vik";2674
"K-4640 Sogndal";11666
"K-4641 Aurland";1778
"K-4642 Lærdal";2153
"K-4643 Årdal";5277
"K-4644 Luster";5223
"K-4645 Askvoll";3052
"K-4646 Fjaler";2846
"K-4647 Sunnfjord";21963
"K-4648 Bremanger";3767
"K-4649 Stad";8914
"K-4650 Gloppen";5874
"K-4651 Stryn";7195
"K-1505 Kristiansund";24300
"K-1506 Molde";31895
"K-1507 Ålesund";65065
"K-1511 Vanylven";3187
"K-1514 Sande";2522
"K-1515 Herøy (Møre og Romsdal)";8965
"K-1516 Ulstein";8555
"K-1517 Hareid";5150
"K-1520 Ørsta";10812
"K-1525 Stranda";4587
"K-1528 Sykkylven";7695
"K-1531 Sula";9131
"K-1532 Giske";8292
"K-1535 Vestnes";6559
"K-1539 Rauma";7507
"K-1547 Aukra";3557
"K-1554 Averøy";5859
"K-1557 Gjemnes";2623
"K-1560 Tingvoll";3078
"K-1563 Sunndal";7119
"K-1566 Surnadal";5978
"K-1573 Smøla";2172
"K-1576 Aure";3593
"K-1577 Volda";10363
"K-1578 Fjord";2642
"K-1579 Hustadvika";13215
"K-5001 Trondheim";199595
"K-5006 Steinkjer";24569
"K-5007 Namsos";15281
"K-5014 Frøya";4962
"K-5020 Osen";967
"K-5021 Oppdal";6970
"K-5022 Rennebu";2541
"K-5025 Røros";5663
"K-5026 Holtålen";2028
"K-5027 Midtre Gauldal";6225
"K-5028 Melhus";16424
"K-5029 Skaun";8142
"K-5031 Malvik";13958
"K-5032 Selbu";4093
"K-5033 Tydal";834
"K-5034 Meråker";2469
"K-5035 Stjørdal";23964
"K-5036 Frosta";2616
"K-5037 Levanger";20115
"K-5038 Verdal";14943
"K-5041 Snåase - Snåsa";2094
"K-5042 Lierne";1379
"K-5043 Raarvihke - Røyrvik";474
"K-5044 Namsskogan";902
"K-5045 Grong";2400
"K-5046 Høylandet";1268
"K-5047 Overhalla";3845
"K-5049 Flatanger";1105
"K-5052 Leka";582
"K-5053 Inderøy";6785
"K-5054 Indre Fosen";10090
"K-5055 Heim";0
"K-5056 Hitra";0
"K-5057 Ørland";10215
"K-5058 Åfjord";4230
"K-5059 Orkland";0
"K-5060 Nærøysund";9609
"K-5061 Rindal";2039
"K-1804 Bodø";51558
"K-1806 Narvik";0
"K-1811 Bindal";1486
"K-1812 Sømna";2020
"K-1813 Brønnøy";7948
"K-1815 Vega";1221
"K-1816 Vevelstad";506
"K-1818 Herøy (Nordland)";1790
"K-1820 Alstahaug";7450
"K-1822 Leirfjord";2307
"K-1824 Vefsn";13448
"K-1825 Grane";1463
"K-1826 Hattfjelldal";1411
"K-1827 Dønna";1403
"K-1828 Nesna";1805
"K-1832 Hemnes";4503
"K-1833 Rana";26230
"K-1834 Lurøy";1920
"K-1835 Træna";454
"K-1836 Rødøy";1249
"K-1837 Meløy";6346
"K-1838 Gildeskål";1998
"K-1839 Beiarn";1029
"K-1840 Saltdal";4691
"K-1841 Fauske - Fuosko";9775
"K-1845 Sørfold";1979
"K-1848 Steigen";2534
"K-1851 Lødingen";2102
"K-1853 Evenes - Evenássi";1387
"K-1856 Røst";517
"K-1857 Værøy";746
"K-1859 Flakstad";1301
"K-1860 Vestvågøy";11397
"K-1865 Vågan";9611
"K-1866 Hadsel";8042
"K-1867 Bø";2623
"K-1868 Øksnes";4541
"K-1870 Sortland - Suortá";10401
"K-1871 Andøy";4902
"K-1874 Moskenes";1068
"K-1875 Hamarøy";0
"K-5401 Tromsø";75638
"K-5402 Harstad";24820
"K-5403 Alta";20635
"K-5404 Vardø";2110
"K-5405 Vadsø";6033
"K-5406 Hammerfest";11560
"K-5411 Kvæfjord";2928
"K-5412 Tjeldsund";4253
"K-5413 Ibestad";1380
"K-5414 Gratangen";1117
"K-5415 Loabák - Lavangen";1061
"K-5416 Bardu";3979
"K-5417 Salangen";2226
"K-5418 Målselv";6798
"K-5419 Sørreisa";3494
"K-5420 Dyrøy";1165
"K-5421 Senja";15025
"K-5422 Balsfjord";5653
"K-5423 Karlsøy";2263
"K-5424 Lyngen";2877
"K-5425 Storfjord - Omasvuotna - Omasvuono";1856
"K-5426 Gáivuotna - Kåfjord - Kaivuono";2132
"K-5427 Skjervøy";2925
"K-5428 Nordreisa";4944
"K-5429 Kvænangen";1224
"K-5430 Guovdageaidnu - Kautokeino";2946
"K-5432 Loppa";941
"K-5433 Hasvik";1022
"K-5434 Måsøy";1231
"K-5435 Nordkapp";3239
"K-5436 Porsanger - Porsángu - Porsanki ";3964
"K-5437 Kárásjohka - Karasjok";2701
"K-5438 Lebesby";1349
"K-5439 Gamvik";1153
"K-5440 Berlevåg";983
"K-5441 Deatnu - Tana";2922
"K-5442 Unjárga - Nesseby";944
"K-5443 Båtsfjord";2263
"K-5444 Sør-Varanger";10171
"K-21-22 Svalbard og Jan Mayen";0
"K-23 Kontinentalsokkelen";0
"K-Rest Delte kommuner og uoppgitt";53892
