"07459: Befolkning, etter region, år og statistikkvariabel"

"region";"år";"Personer"
"K-3001 Halden";"2020";31373
"K-3002 Moss";"2020";49273
"K-3003 Sarpsborg";"2020";56732
"K-3004 Fredrikstad";"2020";82385
"K-3005 Drammen";"2020";101386
"K-3006 Kongsberg";"2020";27723
"K-3007 Ringerike";"2020";30641
"K-3011 Hvaler";"2020";4668
"K-3012 Aremark";"2020";1325
"K-3013 Marker";"2020";3595
"K-3014 Indre Østfold";"2020";44792
"K-3015 Skiptvet";"2020";3805
"K-3016 Rakkestad";"2020";8255
"K-3017 Råde";"2020";7508
"K-3018 Våler (Viken)";"2020";5736
"K-3019 Vestby";"2020";18042
"K-3020 Nordre Follo";"2020";59288
"K-3021 Ås";"2020";20439
"K-3022 Frogn";"2020";15877
"K-3023 Nesodden";"2020";19616
"K-3024 Bærum";"2020";127731
"K-3025 Asker";"2020";94441
"K-3026 Aurskog-Høland";"2020";17390
"K-3027 Rælingen";"2020";18530
"K-3028 Enebakk";"2020";11110
"K-3029 Lørenskog";"2020";41460
"K-3030 Lillestrøm";"2020";85983
"K-3031 Nittedal";"2020";24249
"K-3032 Gjerdrum";"2020";6890
"K-3033 Ullensaker";"2020";39625
"K-3034 Nes";"2020";23092
"K-3035 Eidsvoll";"2020";25436
"K-3036 Nannestad";"2020";14139
"K-3037 Hurdal";"2020";2854
"K-3038 Hole";"2020";6799
"K-3039 Flå";"2020";1050
"K-3040 Nesbyen";"2020";3273
"K-3041 Gol";"2020";4608
"K-3042 Hemsedal";"2020";2486
"K-3043 Ål";"2020";4674
"K-3044 Hol";"2020";4441
"K-3045 Sigdal";"2020";3467
"K-3046 Krødsherad";"2020";2212
"K-3047 Modum";"2020";14115
"K-3048 Øvre Eiker";"2020";19423
"K-3049 Lier";"2020";26811
"K-3050 Flesberg";"2020";2688
"K-3051 Rollag";"2020";1390
"K-3052 Nore og Uvdal";"2020";2439
"K-3053 Jevnaker";"2020";6852
"K-3054 Lunner";"2020";9048
"K-0301 Oslo";"2020";693494
"K-3401 Kongsvinger";"2020";17829
"K-3403 Hamar";"2020";31369
"K-3405 Lillehammer";"2020";28345
"K-3407 Gjøvik";"2020";30560
"K-3411 Ringsaker";"2020";34768
"K-3412 Løten";"2020";7674
"K-3413 Stange";"2020";21064
"K-3414 Nord-Odal";"2020";5016
"K-3415 Sør-Odal";"2020";7905
"K-3416 Eidskog";"2020";6106
"K-3417 Grue";"2020";4612
"K-3418 Åsnes";"2020";7203
"K-3419 Våler (Innlandet)";"2020";3662
"K-3420 Elverum";"2020";21254
"K-3421 Trysil";"2020";6627
"K-3422 Åmot";"2020";4356
"K-3423 Stor-Elvdal";"2020";2419
"K-3424 Rendalen";"2020";1780
"K-3425 Engerdal";"2020";1268
"K-3426 Tolga";"2020";1562
"K-3427 Tynset";"2020";5578
"K-3428 Alvdal";"2020";2432
"K-3429 Folldal";"2020";1545
"K-3430 Os";"2020";1891
"K-3431 Dovre";"2020";2553
"K-3432 Lesja";"2020";1975
"K-3433 Skjåk";"2020";2197
"K-3434 Lom";"2020";2228
"K-3435 Vågå";"2020";3570
"K-3436 Nord-Fron";"2020";5723
"K-3437 Sel";"2020";5739
"K-3438 Sør-Fron";"2020";3119
"K-3439 Ringebu";"2020";4392
"K-3440 Øyer";"2020";5100
"K-3441 Gausdal";"2020";6106
"K-3442 Østre Toten";"2020";14973
"K-3443 Vestre Toten";"2020";13427
"K-3446 Gran";"2020";13630
"K-3447 Søndre Land";"2020";5617
"K-3448 Nordre Land";"2020";6633
"K-3449 Sør-Aurdal";"2020";2954
"K-3450 Etnedal";"2020";1279
"K-3451 Nord-Aurdal";"2020";6413
"K-3452 Vestre Slidre";"2020";2125
"K-3453 Øystre Slidre";"2020";3229
"K-3454 Vang";"2020";1578
"K-3801 Horten";"2020";27351
"K-3802 Holmestrand";"2020";24699
"K-3803 Tønsberg";"2020";56293
"K-3804 Sandefjord";"2020";63764
"K-3805 Larvik";"2020";47204
"K-3806 Porsgrunn";"2020";36397
"K-3807 Skien";"2020";54942
"K-3808 Notodden";"2020";13049
"K-3811 Færder";"2020";26730
"K-3812 Siljan";"2020";2340
"K-3813 Bamble";"2020";14061
"K-3814 Kragerø";"2020";10380
"K-3815 Drangedal";"2020";4060
"K-3816 Nome";"2020";6515
"K-3817 Midt-Telemark";"2020";10444
"K-3818 Tinn";"2020";5691
"K-3819 Hjartdal";"2020";1573
"K-3820 Seljord";"2020";2888
"K-3821 Kviteseid";"2020";2403
"K-3822 Nissedal";"2020";1448
"K-3823 Fyresdal";"2020";1287
"K-3824 Tokke";"2020";2201
"K-3825 Vinje";"2020";3676
"K-4201 Risør";"2020";6809
"K-4202 Grimstad";"2020";23544
"K-4203 Arendal";"2020";44999
"K-4204 Kristiansand";"2020";111633
"K-4205 Lindesnes";"2020";23046
"K-4206 Farsund";"2020";9691
"K-4207 Flekkefjord";"2020";9028
"K-4211 Gjerstad";"2020";2428
"K-4212 Vegårshei";"2020";2097
"K-4213 Tvedestrand";"2020";6053
"K-4214 Froland";"2020";5951
"K-4215 Lillesand";"2020";11074
"K-4216 Birkenes";"2020";5226
"K-4217 Åmli";"2020";1836
"K-4218 Iveland";"2020";1331
"K-4219 Evje og Hornnes";"2020";3634
"K-4220 Bygland";"2020";1162
"K-4221 Valle";"2020";1164
"K-4222 Bykle";"2020";965
"K-4223 Vennesla";"2020";14774
"K-4224 Åseral";"2020";932
"K-4225 Lyngdal";"2020";10365
"K-4226 Hægebostad";"2020";1680
"K-4227 Kvinesdal";"2020";5987
"K-4228 Sirdal";"2020";1822
"K-1101 Eigersund";"2020";14811
"K-1103 Stavanger";"2020";143574
"K-1106 Haugesund";"2020";37357
"K-1108 Sandnes";"2020";79537
"K-1111 Sokndal";"2020";3280
"K-1112 Lund";"2020";3202
"K-1114 Bjerkreim";"2020";2787
"K-1119 Hå";"2020";18991
"K-1120 Klepp";"2020";19588
"K-1121 Time";"2020";18916
"K-1122 Gjesdal";"2020";12002
"K-1124 Sola";"2020";27153
"K-1127 Randaberg";"2020";11221
"K-1130 Strand";"2020";12968
"K-1133 Hjelmeland";"2020";2574
"K-1134 Suldal";"2020";3804
"K-1135 Sauda";"2020";4595
"K-1144 Kvitsøy";"2020";517
"K-1145 Bokn";"2020";852
"K-1146 Tysvær";"2020";11065
"K-1149 Karmøy";"2020";42186
"K-1151 Utsira";"2020";198
"K-1160 Vindafjord";"2020";8714
"K-4601 Bergen";"2020";283929
"K-4602 Kinn";"2020";17207
"K-4611 Etne";"2020";4062
"K-4612 Sveio";"2020";5766
"K-4613 Bømlo";"2020";11957
"K-4614 Stord";"2020";18759
"K-4615 Fitjar";"2020";3189
"K-4616 Tysnes";"2020";2869
"K-4617 Kvinnherad";"2020";13071
"K-4618 Ullensvang";"2020";11048
"K-4619 Eidfjord";"2020";906
"K-4620 Ulvik";"2020";1080
"K-4621 Voss";"2020";15740
"K-4622 Kvam";"2020";8457
"K-4623 Samnanger";"2020";2485
"K-4624 Bjørnafjorden";"2020";24908
"K-4625 Austevoll";"2020";5236
"K-4626 Øygarden";"2020";38316
"K-4627 Askøy";"2020";29553
"K-4628 Vaksdal";"2020";3977
"K-4629 Modalen";"2020";388
"K-4630 Osterøy";"2020";8098
"K-4631 Alver";"2020";29224
"K-4632 Austrheim";"2020";2870
"K-4633 Fedje";"2020";548
"K-4634 Masfjorden";"2020";1691
"K-4635 Gulen";"2020";2297
"K-4636 Solund";"2020";802
"K-4637 Hyllestad";"2020";1328
"K-4638 Høyanger";"2020";4101
"K-4639 Vik";"2020";2635
"K-4640 Sogndal";"2020";11847
"K-4641 Aurland";"2020";1781
"K-4642 Lærdal";"2020";2126
"K-4643 Årdal";"2020";5193
"K-4644 Luster";"2020";5174
"K-4645 Askvoll";"2020";3011
"K-4646 Fjaler";"2020";2802
"K-4647 Sunnfjord";"2020";22030
"K-4648 Bremanger";"2020";3629
"K-4649 Stad";"2020";9457
"K-4650 Gloppen";"2020";5854
"K-4651 Stryn";"2020";7130
"K-1505 Kristiansund";"2020";24179
"K-1506 Molde";"2020";31967
"K-1507 Ålesund";"2020";66258
"K-1511 Vanylven";"2020";3117
"K-1514 Sande";"2020";2461
"K-1515 Herøy (Møre og Romsdal)";"2020";8900
"K-1516 Ulstein";"2020";8571
"K-1517 Hareid";"2020";5175
"K-1520 Ørsta";"2020";10825
"K-1525 Stranda";"2020";4523
"K-1528 Sykkylven";"2020";7625
"K-1531 Sula";"2020";9310
"K-1532 Giske";"2020";8462
