"07459: Befolkning, etter region, år og statistikkvariabel"

"region";"år";"Personer"
"K-3001 Halden";"2018";31037
"K-3002 Moss";"2018";48671
"K-3003 Sarpsborg";"2018";55543
"K-3004 Fredrikstad";"2018";80977
"K-3005 Drammen";"2018";100302
"K-3006 Kongsberg";"2018";27410
"K-3007 Ringerike";"2018";30283
"K-3011 Hvaler";"2018";4540
"K-3012 Aremark";"2018";1399
"K-3013 Marker";"2018";3567
"K-3014 Indre Østfold";"2018";44035
"K-3015 Skiptvet";"2018";3831
"K-3016 Rakkestad";"2018";8202
"K-3017 Råde";"2018";7465
"K-3018 Våler (Viken)";"2018";5471
"K-3019 Vestby";"2018";17486
"K-3020 Nordre Follo";"2018";58058
"K-3021 Ås";"2018";20084
"K-3022 Frogn";"2018";15735
"K-3023 Nesodden";"2018";19287
"K-3024 Bærum";"2018";125454
"K-3025 Asker";"2018";92828
"K-3026 Aurskog-Høland";"2018";17072
"K-3027 Rælingen";"2018";17874
"K-3028 Enebakk";"2018";10945
"K-3029 Lørenskog";"2018";38670
"K-3030 Lillestrøm";"2018";83821
"K-3031 Nittedal";"2018";23545
"K-3032 Gjerdrum";"2018";6704
"K-3033 Ullensaker";"2018";36576
"K-3034 Nes";"2018";21681
"K-3035 Eidsvoll";"2018";24647
"K-3036 Nannestad";"2018";13240
"K-3037 Hurdal";"2018";2903
"K-3038 Hole";"2018";6833
"K-3039 Flå";"2018";1069
"K-3040 Nesbyen";"2018";3341
"K-3041 Gol";"2018";4566
"K-3042 Hemsedal";"2018";2457
"K-3043 Ål";"2018";4626
"K-3044 Hol";"2018";4520
"K-3045 Sigdal";"2018";3488
"K-3046 Krødsherad";"2018";2277
"K-3047 Modum";"2018";13880
"K-3048 Øvre Eiker";"2018";18926
"K-3049 Lier";"2018";25980
"K-3050 Flesberg";"2018";2688
"K-3051 Rollag";"2018";1411
"K-3052 Nore og Uvdal";"2018";2482
"K-3053 Jevnaker";"2018";6777
"K-3054 Lunner";"2018";9065
"K-0301 Oslo";"2018";673469
"K-3401 Kongsvinger";"2018";17934
"K-3403 Hamar";"2018";30930
"K-3405 Lillehammer";"2018";27938
"K-3407 Gjøvik";"2018";30642
"K-3411 Ringsaker";"2018";34151
"K-3412 Løten";"2018";7615
"K-3413 Stange";"2018";20646
"K-3414 Nord-Odal";"2018";5097
"K-3415 Sør-Odal";"2018";7884
"K-3416 Eidskog";"2018";6142
"K-3417 Grue";"2018";4740
"K-3418 Åsnes";"2018";7279
"K-3419 Våler (Innlandet)";"2018";3680
"K-3420 Elverum";"2018";21123
"K-3421 Trysil";"2018";6567
"K-3422 Åmot";"2018";4480
"K-3423 Stor-Elvdal";"2018";2490
"K-3424 Rendalen";"2018";1827
"K-3425 Engerdal";"2018";1294
"K-3426 Tolga";"2018";1553
"K-3427 Tynset";"2018";5605
"K-3428 Alvdal";"2018";2424
"K-3429 Folldal";"2018";1569
"K-3430 Os";"2018";1936
"K-3431 Dovre";"2018";2642
"K-3432 Lesja";"2018";2038
"K-3433 Skjåk";"2018";2179
"K-3434 Lom";"2018";2331
"K-3435 Vågå";"2018";3638
"K-3436 Nord-Fron";"2018";5728
"K-3437 Sel";"2018";5872
"K-3438 Sør-Fron";"2018";3146
"K-3439 Ringebu";"2018";4454
"K-3440 Øyer";"2018";5130
"K-3441 Gausdal";"2018";6148
"K-3442 Østre Toten";"2018";14888
"K-3443 Vestre Toten";"2018";13314
"K-3446 Gran";"2018";13770
"K-3447 Søndre Land";"2018";5650
"K-3448 Nordre Land";"2018";6750
"K-3449 Sør-Aurdal";"2018";3014
"K-3450 Etnedal";"2018";1352
"K-3451 Nord-Aurdal";"2018";6443
"K-3452 Vestre Slidre";"2018";2139
"K-3453 Øystre Slidre";"2018";3221
"K-3454 Vang";"2018";1601
"K-3801 Horten";"2018";27317
"K-3802 Holmestrand";"2018";23938
"K-3803 Tønsberg";"2018";54981
"K-3804 Sandefjord";"2018";62615
"K-3805 Larvik";"2018";46801
"K-3806 Porsgrunn";"2018";36091
"K-3807 Skien";"2018";54510
"K-3808 Notodden";"2018";12664
"K-3811 Færder";"2018";26734
"K-3812 Siljan";"2018";2351
"K-3813 Bamble";"2018";14183
"K-3814 Kragerø";"2018";10506
"K-3815 Drangedal";"2018";4105
"K-3816 Nome";"2018";6609
"K-3817 Midt-Telemark";"2018";10819
"K-3818 Tinn";"2018";5856
"K-3819 Hjartdal";"2018";1587
"K-3820 Seljord";"2018";2959
"K-3821 Kviteseid";"2018";2397
"K-3822 Nissedal";"2018";1489
"K-3823 Fyresdal";"2018";1320
"K-3824 Tokke";"2018";2236
"K-3825 Vinje";"2018";3709
"K-4201 Risør";"2018";6882
"K-4202 Grimstad";"2018";23017
"K-4203 Arendal";"2018";44645
"K-4204 Kristiansand";"2018";109438
"K-4205 Lindesnes";"2018";22905
"K-4206 Farsund";"2018";9726
"K-4207 Flekkefjord";"2018";9066
"K-4211 Gjerstad";"2018";2467
"K-4212 Vegårshei";"2018";2087
"K-4213 Tvedestrand";"2018";6086
"K-4214 Froland";"2018";5790
"K-4215 Lillesand";"2018";10871
"K-4216 Birkenes";"2018";5187
"K-4217 Åmli";"2018";1845
"K-4218 Iveland";"2018";1330
"K-4219 Evje og Hornnes";"2018";3625
"K-4220 Bygland";"2018";1207
"K-4221 Valle";"2018";1225
"K-4222 Bykle";"2018";958
"K-4223 Vennesla";"2018";14532
"K-4224 Åseral";"2018";943
"K-4225 Lyngdal";"2018";10357
"K-4226 Hægebostad";"2018";1699
"K-4227 Kvinesdal";"2018";6024
"K-4228 Sirdal";"2018";1842
"K-1101 Eigersund";"2018";14898
"K-1103 Stavanger";"2018";141186
"K-1106 Haugesund";"2018";37167
"K-1108 Sandnes";"2018";77574
"K-1111 Sokndal";"2018";3331
"K-1112 Lund";"2018";3237
"K-1114 Bjerkreim";"2018";2826
"K-1119 Hå";"2018";18762
"K-1120 Klepp";"2018";19217
"K-1121 Time";"2018";18699
"K-1122 Gjesdal";"2018";11866
"K-1124 Sola";"2018";26265
"K-1127 Randaberg";"2018";10972
"K-1130 Strand";"2018";12638
"K-1133 Hjelmeland";"2018";2723
"K-1134 Suldal";"2018";3849
"K-1135 Sauda";"2018";4663
"K-1144 Kvitsøy";"2018";542
"K-1145 Bokn";"2018";844
"K-1146 Tysvær";"2018";11023
"K-1149 Karmøy";"2018";42243
"K-1151 Utsira";"2018";208
"K-1160 Vindafjord";"2018";8793
"K-4601 Bergen";"2018";279792
"K-4602 Kinn";"2018";17989
"K-4611 Etne";"2018";4083
"K-4612 Sveio";"2018";5721
"K-4613 Bømlo";"2018";11902
"K-4614 Stord";"2018";18780
"K-4615 Fitjar";"2018";3194
"K-4616 Tysnes";"2018";2857
"K-4617 Kvinnherad";"2018";13180
"K-4618 Ullensvang";"2018";11294
"K-4619 Eidfjord";"2018";931
"K-4620 Ulvik";"2018";1117
"K-4621 Voss";"2018";15508
"K-4622 Kvam";"2018";8455
"K-4623 Samnanger";"2018";2463
"K-4624 Bjørnafjorden";"2018";24493
"K-4625 Austevoll";"2018";5189
"K-4626 Øygarden";"2018";37687
"K-4627 Askøy";"2018";29071
"K-4628 Vaksdal";"2018";4127
"K-4629 Modalen";"2018";380
"K-4630 Osterøy";"2018";8125
"K-4631 Alver";"2018";28997
"K-4632 Austrheim";"2018";2902
"K-4633 Fedje";"2018";561
"K-4634 Masfjorden";"2018";1730
"K-4635 Gulen";"2018";2345
"K-4636 Solund";"2018";807
"K-4637 Hyllestad";"2018";1378
"K-4638 Høyanger";"2018";4154
"K-4639 Vik";"2018";2674
"K-4640 Sogndal";"2018";11666
"K-4641 Aurland";"2018";1778
"K-4642 Lærdal";"2018";2153
"K-4643 Årdal";"2018";5277
"K-4644 Luster";"2018";5223
"K-4645 Askvoll";"2018";3052
"K-4646 Fjaler";"2018";2846
"K-4647 Sunnfjord";"2018";21963
"K-4648 Bremanger";"2018";3767
"K-4649 Stad";"2018";8914
"K-4650 Gloppen";"2018";5874
"K-4651 Stryn";"2018";7195
"K-1505 Kristiansund";"2018";24300
"K-1506 Molde";"2018";31895
"K-1507 Ålesund";"2018";65065
"K-1511 Vanylven";"2018";3187
"K-1514 Sande";"2018";2522
"K-1515 Herøy (Møre og Romsdal)";"2018";8965
"K-1516 Ulstein";"2018";8555
"K-1517 Hareid";"2018";5150
"K-1520 Ørsta";"2018";10812
"K-1525 Stranda";"2018";4587
"K-1528 Sykkylven";"2018";7695
"K-1531 Sula";"2018";9131
"K-1532 Giske";"2018";8292
"K-1535 Vestnes";"2018";6559
"K-1539 Rauma";"2018";7507
"K-1547 Aukra";"2018";3557
"K-1554 Averøy";"2018";5859
"K-1557 Gjemnes";"2018";2623
"K-1560 Tingvoll";"2018";3078
"K-1563 Sunndal";"2018";7119
"K-1566 Surnadal";"2018";5978
"K-1573 Smøla";"2018";2172
"K-1576 Aure";"2018";3593
"K-1577 Volda";"2018";10363
"K-1578 Fjord";"2018";2642
"K-1579 Hustadvika";"2018";13215
"K-5001 Trondheim";"2018";199595
"K-5006 Steinkjer";"2018";24569
"K-5007 Namsos";"2018";15281
"K-5014 Frøya";"2018";4962
"K-5020 Osen";"2018";967
"K-5021 Oppdal";"2018";6970
"K-5022 Rennebu";"2018";2541
"K-5025 Røros";"2018";5663
"K-5026 Holtålen";"2018";2028
"K-5027 Midtre Gauldal";"2018";6225
"K-5028 Melhus";"2018";16424
"K-5029 Skaun";"2018";8142
"K-5031 Malvik";"2018";13958
"K-5032 Selbu";"2018";4093
"K-5033 Tydal";"2018";834
"K-5034 Meråker";"2018";2469
"K-5035 Stjørdal";"2018";23964
"K-5036 Frosta";"2018";2616
"K-5037 Levanger";"2018";20115
"K-5038 Verdal";"2018";14943
"K-5041 Snåase - Snåsa";"2018";2094
"K-5042 Lierne";"2018";1379
"K-5043 Raarvihke - Røyrvik";"2018";474
"K-5044 Namsskogan";"2018";902
"K-5045 Grong";"2018";2400
"K-5046 Høylandet";"2018";1268
"K-5047 Overhalla";"2018";3845
"K-5049 Flatanger";"2018";1105
"K-5052 Leka";"2018";582
"K-5053 Inderøy";"2018";6785
"K-5054 Indre Fosen";"2018";10090
"K-5055 Heim";"2018";0
"K-5056 Hitra";"2018";0
"K-5057 Ørland";"2018";10215
"K-5058 Åfjord";"2018";4230
"K-5059 Orkland";"2018";0
"K-5060 Nærøysund";"2018";9609
"K-5061 Rindal";"2018";2039
"K-1804 Bodø";"2018";51558
"K-1806 Narvik";"2018";0
"K-1811 Bindal";"2018";1486
"K-1812 Sømna";"2018";2020
"K-1813 Brønnøy";"2018";7948
"K-1815 Vega";"2018";1221
"K-1816 Vevelstad";"2018";506
"K-1818 Herøy (Nordland)";"2018";1790
"K-1820 Alstahaug";"2018";7450
"K-1822 Leirfjord";"2018";2307
"K-1824 Vefsn";"2018";13448
"K-1825 Grane";"2018";1463
"K-1826 Hattfjelldal";"2018";1411
"K-1827 Dønna";"2018";1403
"K-1828 Nesna";"2018";1805
"K-1832 Hemnes";"2018";4503
"K-1833 Rana";"2018";26230
"K-1834 Lurøy";"2018";1920
"K-1835 Træna";"2018";454
"K-1836 Rødøy";"2018";1249
"K-1837 Meløy";"2018";6346
"K-1838 Gildeskål";"2018";1998
"K-1839 Beiarn";"2018";1029
"K-1840 Saltdal";"2018";4691
"K-1841 Fauske - Fuosko";"2018";9775
"K-1845 Sørfold";"2018";1979
"K-1848 Steigen";"2018";2534
"K-1851 Lødingen";"2018";2102
"K-1853 Evenes - Evenássi";"2018";1387
"K-1856 Røst";"2018";517
"K-1857 Værøy";"2018";746
"K-1859 Flakstad";"2018";1301
"K-1860 Vestvågøy";"2018";11397
"K-1865 Vågan";"2018";9611
"K-1866 Hadsel";"2018";8042
"K-1867 Bø";"2018";2623
"K-1868 Øksnes";"2018";4541
"K-1870 Sortland - Suortá";"2018";10401
