"07459: Befolkning, etter region, år og statistikkvariabel"

"region";"år";"Personer"
"K-3001 Halden";"2019";31177
"K-3002 Moss";"2019";48871
"K-3003 Sarpsborg";"2019";55997
"K-3004 Fredrikstad";"2019";81772
"K-3005 Drammen";"2019";100581
"K-3006 Kongsberg";"2019";27481
"K-3007 Ringerike";"2019";30442
"K-3011 Hvaler";"2019";4599
"K-3012 Aremark";"2019";1357
"K-3013 Marker";"2019";3592
"K-3014 Indre Østfold";"2019";44320
"K-3015 Skiptvet";"2019";3797
"K-3016 Rakkestad";"2019";8230
"K-3017 Råde";"2019";7542
"K-3018 Våler (Viken)";"2019";5593
"K-3019 Vestby";"2019";17824
"K-3020 Nordre Follo";"2019";58237
"K-3021 Ås";"2019";20335
"K-3022 Frogn";"2019";15761
"K-3023 Nesodden";"2019";19488
"K-3024 Bærum";"2019";126841
"K-3025 Asker";"2019";93679
"K-3026 Aurskog-Høland";"2019";17173
"K-3027 Rælingen";"2019";18161
"K-3028 Enebakk";"2019";11026
"K-3029 Lørenskog";"2019";40106
"K-3030 Lillestrøm";"2019";85757
"K-3031 Nittedal";"2019";24089
"K-3032 Gjerdrum";"2019";6823
"K-3033 Ullensaker";"2019";38234
"K-3034 Nes";"2019";21885
"K-3035 Eidsvoll";"2019";24919
"K-3036 Nannestad";"2019";13682
"K-3037 Hurdal";"2019";2864
"K-3038 Hole";"2019";6845
"K-3039 Flå";"2019";1052
"K-3040 Nesbyen";"2019";3315
"K-3041 Gol";"2019";4576
"K-3042 Hemsedal";"2019";2481
"K-3043 Ål";"2019";4671
"K-3044 Hol";"2019";4473
"K-3045 Sigdal";"2019";3490
"K-3046 Krødsherad";"2019";2239
"K-3047 Modum";"2019";13980
"K-3048 Øvre Eiker";"2019";19117
"K-3049 Lier";"2019";26373
"K-3050 Flesberg";"2019";2694
"K-3051 Rollag";"2019";1419
"K-3052 Nore og Uvdal";"2019";2448
"K-3053 Jevnaker";"2019";6846
"K-3054 Lunner";"2019";9051
"K-0301 Oslo";"2019";681071
"K-3401 Kongsvinger";"2019";17823
"K-3403 Hamar";"2019";31144
"K-3405 Lillehammer";"2019";28023
"K-3407 Gjøvik";"2019";30676
"K-3411 Ringsaker";"2019";34488
"K-3412 Løten";"2019";7663
"K-3413 Stange";"2019";20916
"K-3414 Nord-Odal";"2019";5024
"K-3415 Sør-Odal";"2019";7879
"K-3416 Eidskog";"2019";6114
"K-3417 Grue";"2019";4646
"K-3418 Åsnes";"2019";7214
"K-3419 Våler (Innlandet)";"2019";3705
"K-3420 Elverum";"2019";21191
"K-3421 Trysil";"2019";6607
"K-3422 Åmot";"2019";4407
"K-3423 Stor-Elvdal";"2019";2459
"K-3424 Rendalen";"2019";1791
"K-3425 Engerdal";"2019";1286
"K-3426 Tolga";"2019";1551
"K-3427 Tynset";"2019";5591
"K-3428 Alvdal";"2019";2418
"K-3429 Folldal";"2019";1577
"K-3430 Os";"2019";1912
"K-3431 Dovre";"2019";2615
"K-3432 Lesja";"2019";2009
"K-3433 Skjåk";"2019";2204
"K-3434 Lom";"2019";2293
"K-3435 Vågå";"2019";3589
"K-3436 Nord-Fron";"2019";5742
"K-3437 Sel";"2019";5789
"K-3438 Sør-Fron";"2019";3127
"K-3439 Ringebu";"2019";4425
"K-3440 Øyer";"2019";5119
"K-3441 Gausdal";"2019";6112
"K-3442 Østre Toten";"2019";14948
"K-3443 Vestre Toten";"2019";13384
"K-3446 Gran";"2019";13642
"K-3447 Søndre Land";"2019";5623
"K-3448 Nordre Land";"2019";6671
"K-3449 Sør-Aurdal";"2019";2981
"K-3450 Etnedal";"2019";1305
"K-3451 Nord-Aurdal";"2019";6418
"K-3452 Vestre Slidre";"2019";2135
